fiona_7_5_5.mid,fiona_7_5_5.label_score,fiona_7_5_5.loss,fiona_7_5_5.play_duration,fiona_7_5_5.total_innings,fiona_7_5_5.pay_count,fiona_7_5_5.pay_sum,fiona_7_5_5.bankrupt_count,fiona_7_5_5.login_count,fiona_7_5_5.win_innings,fiona_7_5_5.lose_innings,fiona_7_5_5.win_rate,fiona_7_5_5.lifespan,fiona_7_5_5.signup_to_now_days,fiona_7_5_5.total_silver_coin,fiona_7_5_5.total_gold_bar,fiona_7_5_5.carrying_silver_coin,fiona_7_5_5.carrying_gold_bar,fiona_7_5_5.safebox_silver_coin,fiona_7_5_5.safebox_gold_bar,fiona_7_5_5.match_innings,fiona_7_5_5.match_duration,fiona_7_5_5.match_win_rate,fiona_7_5_5.carrying_items_value,fiona_7_5_5.vip_level,fiona_7_5_5.vip_left_days,fiona_7_5_5.relieve_count,fiona_7_5_5.relieve_silver_coins,fiona_7_5_5.last_active_to_now_days,fiona_7_5_5.last_pay_to_now_days,fiona_7_5_5.recent_login_series_days,fiona_7_5_5.latest_play_coins,fiona_7_5_5.play_duration_7d,fiona_7_5_5.innings_7d,fiona_7_5_5.pay_count_7d,fiona_7_5_5.pay_sum_7d,fiona_7_5_5.play_duration_30d,fiona_7_5_5.innings_30d,fiona_7_5_5.pay_count_30d,fiona_7_5_5.pay_sum_30d,fiona_7_5_5.bankrupt_count_7d,fiona_7_5_5.login_count_7d,fiona_7_5_5.win_innings_7d,fiona_7_5_5.lose_innings_7d,fiona_7_5_5.win_rate_7d
19378896,6,0,2062258,5227,0,0.00,53,831,2670,2488,0.51,244,244,373929,0,15881,0,358048,0,433,69790,0.0,NULL,NULL,20,43,344000,18,NULL,10,-1760,79644,194,0,0.00,206535,497,0,0.00,NULL,66,97,96,0.50
3374412,6,0,1011439,8960,0,0.00,196,795,3837,5097,0.43,692,692,194674,279,3800,279,190874,0,8883,1004009,0.03,NULL,NULL,NULL,123,984000,18,NULL,3,-8000,210,2,0,0.00,379,3,0,0.00,NULL,5,2,0,1.00
19339183,6,0,628693,7729,2,2.50,312,778,3242,4455,0.42,241,247,860,0,860,0,0,0,2075,171837,0.0,NULL,NULL,NULL,262,2096000,12,-216,0,-3600,140,1,0,0.00,659,10,0,0.00,2,2,0,1,0.00
10305801,3,0,595578,7035,9,15.00,795,1499,2937,4094,0.42,466,467,3360,0,3360,0,0,0,3821,335692,0.0,NULL,NULL,NULL,684,5472000,17,-93,0,-1080,8161,94,0,0.00,36165,419,0,0.00,15,49,39,55,0.41
19023453,6,0,1126133,7364,1,2.00,70,824,1991,2598,0.27,268,268,509350,0,12530,0,496820,0,1213,182166,0.0,NULL,NULL,20,50,400000,18,-211,16,-7200,10584,66,0,0.00,45415,293,0,0.00,NULL,18,16,27,0.24
19640468,6,0,847206,6861,0,0.00,301,830,1929,4821,0.28,221,221,68047,0,68047,0,0,0,0,0,NULL,NULL,NULL,20,266,2128000,18,NULL,71,-1800,22997,189,0,0.00,95845,781,0,0.00,14,64,56,132,0.30
20712998,5,0,408803,1306,17,17.50,162,383,580,710,0.44,92,92,8100,50,8100,50,0,0,3,249,0.33,NULL,NULL,NULL,136,1088000,18,-2,27,-6000,29302,100,3,1.50,100347,329,5,2.50,23,71,40,59,0.40
7967628,1,0,3928942,58575,225,2393.00,1351,4778,22157,33158,0.38,506,506,2486,0,2486,0,0,0,43348,3323122,0.0,NULL,NULL,20,1018,8144000,18,-19,507,-3000,4925,228,0,0.00,71356,2363,7,30.00,17,36,108,106,0.47
4917980,6,0,2788810,14107,0,0.00,11,3773,6701,6978,0.48,584,584,2381369,309,19387,309,2361982,0,9146,1697606,0.05,NULL,NULL,20,3,24000,18,NULL,14,4400,15757,53,0,0.00,92822,308,0,0.00,NULL,63,28,25,0.53
4567873,3,0,1821217,23570,39,108.00,1092,1614,8798,14344,0.37,598,598,17721,1,17721,1,0,0,11456,701027,0.22,NULL,NULL,NULL,446,3568000,18,-165,17,3000,57901,633,0,0.00,219347,2370,0,0.00,5,58,168,459,0.27
