fiona_7_5_5.mid,fiona_7_5_5.label_score,fiona_7_5_5.loss,fiona_7_5_5.play_duration,fiona_7_5_5.total_innings,fiona_7_5_5.pay_count,fiona_7_5_5.pay_sum,fiona_7_5_5.bankrupt_count,fiona_7_5_5.login_count,fiona_7_5_5.win_innings,fiona_7_5_5.lose_innings,fiona_7_5_5.win_rate,fiona_7_5_5.lifespan,fiona_7_5_5.signup_to_now_days,fiona_7_5_5.total_silver_coin,fiona_7_5_5.total_gold_bar,fiona_7_5_5.carrying_silver_coin,fiona_7_5_5.carrying_gold_bar,fiona_7_5_5.safebox_silver_coin,fiona_7_5_5.safebox_gold_bar,fiona_7_5_5.match_innings,fiona_7_5_5.match_duration,fiona_7_5_5.match_win_rate,fiona_7_5_5.carrying_items_value,fiona_7_5_5.vip_level,fiona_7_5_5.vip_left_days,fiona_7_5_5.relieve_count,fiona_7_5_5.relieve_silver_coins,fiona_7_5_5.last_active_to_now_days,fiona_7_5_5.last_pay_to_now_days,fiona_7_5_5.recent_login_series_days,fiona_7_5_5.latest_play_coins,fiona_7_5_5.play_duration_7d,fiona_7_5_5.innings_7d,fiona_7_5_5.pay_count_7d,fiona_7_5_5.pay_sum_7d,fiona_7_5_5.play_duration_30d,fiona_7_5_5.innings_30d,fiona_7_5_5.pay_count_30d,fiona_7_5_5.pay_sum_30d,fiona_7_5_5.bankrupt_count_7d,fiona_7_5_5.login_count_7d,fiona_7_5_5.win_innings_7d,fiona_7_5_5.lose_innings_7d,fiona_7_5_5.win_rate_7d
5965634,6,0,613432,8457,0,0.00,710,1320,3685,4533,0.44,549,551,17435,0,17435,0,0,0,7692,544755,0.31,NULL,NULL,NULL,294,2352000,16,NULL,0,-32400,6023,87,0,0.00,31743,429,0,0.00,NULL,25,35,51,0.40
5786901,5,0,188450,2548,1,30.00,67,199,1040,1464,0.41,549,557,15134,0,15134,0,0,0,2192,156195,0.0,NULL,NULL,NULL,50,400000,10,-533,0,540,3275,29,0,0.00,7514,65,0,0.00,NULL,12,8,12,0.28
4260223,6,0,2028151,10249,0,0.00,141,1874,4654,5534,0.45,603,614,750,400,750,400,0,0,5323,746330,0.0,NULL,NULL,NULL,89,712000,7,NULL,0,-7000,21237,212,0,0.00,77803,433,0,0.00,NULL,42,87,125,0.41
11798618,3,0,868859,20545,91,134.00,610,1596,8426,11850,0.41,420,423,70010,18,21385,18,48625,0,10222,270738,0.0,NULL,NULL,20,450,3600000,15,-130,0,2325,9802,169,0,0.00,58959,1416,0,0.00,13,87,82,84,0.49
1002259986,6,0,719234,4361,0,0.00,121,1854,1162,1484,0.27,259,259,613181,400,613181,400,0,0,12,1299,0.0,NULL,NULL,NULL,104,553000,18,NULL,245,0,16488,104,0,0.00,90253,557,0,0.00,NULL,60,30,33,0.29
4882339,6,0,1760799,12751,0,0.00,606,2885,6392,6301,0.5,586,586,100860,145,18526,145,82334,0,10538,1252105,0.2,NULL,NULL,20,514,4112000,18,NULL,33,3000,19146,133,0,0.00,58981,417,0,0.00,4,62,71,62,0.53
11611008,6,0,1698177,17765,5,4.00,720,2346,5960,9202,0.34,428,428,21880,400,21880,400,0,0,8606,831968,0.0,NULL,NULL,20,489,3912000,18,8,146,1920,31137,342,0,0.00,106365,1168,0,0.00,1,62,119,185,0.35
1002823634,6,0,542895,7472,0,0.00,343,404,3484,3886,0.47,94,94,43559,158,23559,158,20000,0,472,40805,0.5,NULL,NULL,NULL,100,500000,18,NULL,8,-7200,20583,285,0,0.00,102913,1420,0,0.00,5,31,140,139,0.49
960974,3,1,1171326,14162,17,222.00,542,1772,7258,6390,0.51,822,841,0,0,0,0,0,0,13976,1155942,0.01,NULL,NULL,NULL,371,2968000,-1,-540,0,-8788,1393,17,0,0.00,2231,27,0,0.00,1,6,10,7,0.59
6219479,5,0,371740,4203,9,18.00,2,757,1931,2272,0.46,544,544,11367,0,1548,0,9819,0,2341,210668,0.0,NULL,NULL,NULL,2,16000,18,-239,15,-4320,6052,72,0,0.00,38237,461,0,0.00,NULL,12,32,40,0.44
7399157,3,0,2381978,38482,30,60.00,605,2019,12042,26464,0.31,517,517,18564,0,13994,0,4570,0,29669,1662373,0.0,NULL,NULL,NULL,502,4016000,18,-426,3,-4320,19638,252,0,0.00,114240,1476,0,0.00,11,63,114,138,0.45
18231681,3,1,942113,8507,8,32.00,283,745,3855,4098,0.45,315,315,97787,383,2000,300,95787,83,5498,534630,0.07,NULL,NULL,NULL,144,1152000,18,-7,1,-3142,9704,51,0,0.00,70302,478,2,8.00,2,23,24,27,0.47
8451456,6,0,1795989,13751,11,5.50,568,1136,7948,5074,0.58,491,491,605021,0,13136,0,591885,0,8665,1156591,0.0,NULL,NULL,NULL,225,1800000,18,-294,5,-10560,6617,50,0,0.00,110134,871,0,0.00,NULL,10,28,17,0.56
18178579,6,0,1027556,7950,0,0.00,6,542,3403,4285,0.43,318,318,472896,175,11358,175,461538,0,5307,665917,0.09,NULL,NULL,NULL,6,48000,18,NULL,12,-22986,7822,56,0,0.00,44633,351,0,0.00,NULL,14,21,32,0.38
17833920,3,0,852426,10575,37,75.50,208,569,5265,5222,0.5,333,333,15450,10,15450,10,0,0,9725,774001,0.42,NULL,NULL,NULL,101,808000,18,-185,10,300,1789,24,0,0.00,20404,266,0,0.00,NULL,6,8,16,0.33
8362727,3,1,1594293,16357,10,11.00,253,1095,6537,8817,0.4,470,493,77302,1,24212,1,53090,0,13474,1141128,0.0,NULL,NULL,NULL,124,992000,-5,-194,0,-2200,884,4,0,0.00,32434,172,0,0.00,NULL,2,1,3,0.25
20872425,5,0,45067,1328,16,12.50,118,86,539,668,0.41,48,65,170,0,170,0,0,0,0,0,NULL,NULL,NULL,NULL,86,688000,1,-5,0,-3000,10529,112,1,0.50,23637,380,4,3.50,12,30,29,54,0.26
20473000,5,0,377281,3610,3,38.00,52,529,1349,2251,0.37,125,126,26881,7,1854,7,25027,0,81,6381,0.4,NULL,NULL,NULL,47,376000,17,-82,0,-8640,2778,11,0,0.00,62953,372,0,0.00,NULL,12,5,6,0.45
11279223,6,0,1695106,18319,0,0.00,915,2146,7774,9734,0.42,438,439,143210,8,24804,8,118406,0,17765,1628576,0.25,NULL,NULL,NULL,149,1192000,17,NULL,0,-7800,3531,41,0,0.00,44422,365,0,0.00,NULL,7,17,23,0.41
10307221,5,0,320370,3868,10,20.00,373,665,1728,2122,0.45,467,467,8886,5,8886,5,0,0,1278,102495,0.05,NULL,NULL,NULL,304,2432000,18,-8,3,-1080,7720,76,0,0.00,46881,568,2,4.00,14,35,28,43,0.37
17821318,6,0,1762224,15617,2,8.00,58,918,6945,8069,0.44,333,333,1676827,0,13262,0,1663565,0,2967,167541,0.0,NULL,NULL,NULL,51,408000,18,-71,5,-540,69336,754,0,0.00,247004,2182,0,0.00,NULL,55,371,382,0.49
1002555168,5,0,332762,5005,6,12.94,163,602,2138,2754,0.43,172,172,8109,251,4140,251,3969,0,13,1414,0.31,NULL,NULL,NULL,128,640000,18,-77,25,308,12405,177,0,0.00,54145,768,0,0.00,3,49,91,85,0.51
6302334,3,0,1321424,18369,8,24.00,821,1332,8270,9432,0.45,542,542,195807,0,1500,0,194307,0,11432,900861,0.05,NULL,NULL,20,512,4096000,18,-233,2,-2600,13062,70,0,0.00,52924,382,0,0.00,NULL,16,29,41,0.41
7024761,6,0,902150,10263,0,0.00,64,961,4928,5343,0.48,526,526,693707,0,23500,0,670207,0,9999,879787,0.0,NULL,NULL,NULL,51,408000,18,NULL,13,4320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL
3956450,6,0,823077,8607,0,0.00,351,339,4324,4066,0.5,634,636,13200,0,13200,0,0,0,8094,764054,0.24,NULL,NULL,NULL,163,1304000,16,NULL,0,0,6022,62,0,0.00,42813,366,0,0.00,3,12,30,32,0.48
18911066,6,0,678615,7523,1,6.00,140,708,2944,3913,0.39,276,276,84079,0,27641,0,56438,0,1154,122018,0.01,NULL,NULL,NULL,112,896000,18,-189,2,0,25477,190,0,0.00,111596,925,0,0.00,8,45,54,76,0.28
4541174,5,0,649927,5205,40,148.00,657,892,2216,2866,0.43,596,600,5660,13,5660,13,0,0,4867,558225,0.03,NULL,NULL,NULL,480,3840000,14,-116,0,540,2243,6,0,0.00,5860,28,0,0.00,1,4,3,3,0.50
1002670613,6,0,525696,4852,0,0.00,283,590,1919,2238,0.4,132,132,66880,352,39446,352,27434,0,644,76667,0.36,NULL,NULL,NULL,149,745000,18,NULL,56,-2000,31792,302,0,0.00,114681,1068,0,0.00,29,101,118,127,0.39
10231369,6,0,2308797,28643,0,0.00,643,2446,9156,19178,0.32,463,470,33819,1,14153,1,19666,0,13168,859606,0.02,NULL,NULL,NULL,533,4264000,11,NULL,0,-2160,72711,733,0,0.00,275631,2692,0,0.00,NULL,296,290,437,0.40
17323474,6,0,1994438,7630,0,0.00,775,899,2259,2526,0.3,353,353,23401,45,23401,45,0,0,5149,1105212,0.13,NULL,NULL,NULL,165,1320000,18,NULL,1,0,35128,88,0,0.00,132129,305,0,0.00,1,22,15,12,0.17
15590391,6,0,1032342,11383,1,2.00,63,899,4661,6665,0.41,383,384,105547,0,9000,0,96547,0,6492,518912,0.0,NULL,NULL,NULL,53,424000,17,-355,0,-540,30576,324,0,0.00,101376,1063,0,0.00,NULL,129,128,191,0.40
461746,6,0,1583705,14037,0,0.00,356,1365,6441,6514,0.46,957,957,45880,30,10039,30,35841,0,11603,999489,0.02,NULL,NULL,NULL,190,1584000,18,NULL,15,0,7569,24,0,0.00,75592,191,0,0.00,NULL,31,3,0,0.13
5903776,6,0,1885115,10841,0,0.00,2,1335,5181,5441,0.48,553,553,2290307,0,20560,0,2269747,0,7194,1255140,0.0,NULL,NULL,20,1,8000,18,NULL,40,-1080,NULL,NULL,NULL,NULL,525,6,0,0.00,NULL,12,NULL,NULL,NULL
10598232,3,1,688462,10061,85,238.50,460,775,3729,6105,0.37,450,458,0,8,0,8,0,0,7846,510684,0.0,NULL,NULL,NULL,307,2456000,10,-40,0,-4525,167,1,0,0.00,16212,147,0,0.00,NULL,4,0,1,0.00
3467195,6,0,3769576,31909,0,0.00,2579,3482,16244,14914,0.51,682,682,805518,163,109213,163,696305,0,28512,3301518,0.23,NULL,NULL,NULL,688,5504000,18,NULL,5,4800,18963,150,0,0.00,18963,150,0,0.00,NULL,34,77,73,0.51
10907790,2,0,390653,7099,148,353.00,1133,1020,3046,3907,0.43,447,449,14777,0,14777,0,0,0,5273,288249,0.0,NULL,NULL,NULL,687,5496000,16,-5,0,-3000,4213,73,1,2.00,30224,605,6,6.00,21,46,31,37,0.42
18217558,6,0,731243,8334,0,0.00,135,483,3949,4287,0.47,316,316,392761,894,1000,40,391761,854,5799,562313,0.39,NULL,NULL,NULL,76,608000,18,NULL,7,-19628,9710,130,0,0.00,51734,683,0,0.00,NULL,9,69,59,0.53
1203162,6,0,3545419,34404,2,4.00,1431,3067,14918,17554,0.43,801,801,4416084,3,218000,3,4198084,0,25201,2480528,0.06,NULL,NULL,20,474,3792000,18,-524,17,9000,40921,278,0,0.00,197185,1244,0,0.00,NULL,74,115,154,0.41
20202813,6,0,813608,5439,0,0.00,472,695,2614,2460,0.48,157,157,12067,7,12067,7,0,0,36,2916,0.5,NULL,NULL,NULL,212,1696000,18,NULL,8,-2400,37178,251,0,0.00,248753,1615,0,0.00,41,78,122,108,0.49
18281474,6,0,2440627,12489,0,0.00,415,1647,4958,7264,0.4,313,313,38190,0,12431,0,25759,0,3029,718410,0.0,NULL,NULL,NULL,351,2808000,18,NULL,26,-2750,61224,382,0,0.00,176961,1130,0,0.00,21,83,139,235,0.36
20554612,5,0,259521,723,21,24.00,118,171,314,397,0.43,105,116,21236,0,21236,0,0,0,6,2200,0.17,NULL,NULL,NULL,76,608000,7,-77,0,6000,620,2,0,0.00,2514,7,0,0.00,2,2,0,2,0.00
5417720,6,0,1735868,14341,0,0.00,52,2004,6183,7570,0.43,568,568,518424,371,1500,271,516924,100,5471,697391,0.01,NULL,NULL,20,33,264000,18,NULL,12,-2700,18005,177,0,0.00,104535,1002,0,0.00,NULL,97,75,88,0.42
5726814,1,0,845903,8985,127,294.00,171,1300,3879,5064,0.43,558,558,38604,13,38604,13,0,0,5732,571182,0.0,NULL,NULL,NULL,132,1056000,18,6,29,3600,22504,293,0,0.00,59780,756,3,6.00,5,144,140,153,0.48
16959416,6,0,2260480,21910,0,0.00,559,1741,11138,10778,0.51,365,365,12810,0,12810,0,0,0,8216,858829,0.0,NULL,NULL,NULL,533,4264000,18,NULL,6,-6400,29610,287,0,0.00,236537,2293,0,0.00,16,72,132,155,0.46
6532774,5,1,448471,7664,19,38.00,380,736,3122,4314,0.41,514,538,500,0,500,0,0,0,6745,392550,0.0,NULL,NULL,NULL,245,1960000,-6,-189,0,-3610,470,5,0,0.00,1684,20,0,0.00,1,5,2,3,0.40
6372900,3,0,1660081,22027,18,138.00,493,1550,11512,8864,0.52,541,541,19080,0,19080,0,0,0,13560,1047201,0.0,NULL,NULL,20,417,3336000,18,-94,114,600,18507,264,0,0.00,83128,1179,0,0.00,8,25,133,108,0.50
10331464,3,0,387088,11377,23,69.00,264,644,4821,6193,0.42,461,466,1589177,0,20850,0,1568327,0,7364,224881,0.0,NULL,NULL,NULL,178,1424000,13,-390,0,5920,17678,252,0,0.00,104482,2079,0,0.00,NULL,34,126,108,0.50
7826229,3,0,602703,6551,6,18.00,58,1098,2959,3458,0.45,509,509,13265,0,13265,0,0,0,5651,500195,0.0,NULL,NULL,NULL,57,456000,18,-471,6,370,1012,9,0,0.00,10396,90,0,0.00,NULL,9,5,4,0.56
6341483,1,0,1042533,16642,299,2399.50,1099,2033,7555,9043,0.45,542,542,10360,41,10360,41,0,0,12036,659220,0.0,NULL,NULL,20,766,6128000,18,9,8,-4320,9244,116,0,0.00,57195,719,2,12.00,9,60,56,60,0.48
4538482,6,0,1343243,14567,0,0.00,43,1595,7154,7394,0.49,599,600,516503,0,0,0,516503,0,11822,1035944,0.01,NULL,NULL,NULL,29,232000,17,NULL,0,-3811,32137,126,0,0.00,58259,257,0,0.00,NULL,61,61,65,0.48
16961335,6,0,1033627,15491,0,0.00,212,998,6629,7001,0.43,365,365,146185,57,124981,57,21204,0,11072,752907,0.14,NULL,NULL,20,187,1496000,18,NULL,4,10800,12501,207,0,0.00,50783,1035,0,0.00,14,61,66,87,0.32
1002244184,6,0,1173646,13427,0,0.00,10,1026,6741,6727,0.5,260,260,128788,400,27581,400,101207,0,2795,248216,0.0,NULL,NULL,NULL,9,57000,18,NULL,1,-1680,19567,236,0,0.00,52451,641,0,0.00,NULL,26,111,125,0.47
20048770,6,0,818036,8583,0,0.00,0,655,4700,3883,0.55,176,176,2318463,0,18253,0,2300210,0,0,0,NULL,NULL,NULL,NULL,0,0,18,NULL,17,-3200,15299,161,0,0.00,116757,1236,0,0.00,NULL,48,90,71,0.56
17342925,3,0,1079451,12333,33,27.00,496,1632,5942,5920,0.48,352,352,205026,57,21440,57,183586,0,7267,574335,0.19,NULL,NULL,NULL,319,2552000,18,-130,1,0,6530,32,0,0.00,46684,389,0,0.00,NULL,45,8,8,0.25
18615245,3,1,876020,15285,127,83.00,528,985,7193,7775,0.47,275,296,16072,28,16072,28,0,0,9065,544742,0.29,NULL,NULL,NULL,318,2544000,-3,-39,0,-2700,1736,25,0,0.00,34678,473,0,0.00,NULL,4,12,13,0.48
4061654,6,0,2436893,20734,0,0.00,273,4619,8046,12111,0.39,622,628,484501,300,34641,300,449860,0,13627,1732821,0.04,NULL,NULL,NULL,220,1760000,12,NULL,0,-4000,32608,219,0,0.00,148384,1200,0,0.00,NULL,111,96,118,0.44
15448530,6,0,1244869,17491,1,2.00,308,1319,8864,7947,0.51,386,386,133761,14,6740,14,127021,0,6094,381788,0.02,NULL,NULL,NULL,146,1168000,18,-71,8,-3600,4839,59,0,0.00,32660,384,0,0.00,5,34,24,35,0.41
16554713,6,0,1553911,15853,0,0.00,364,1777,7419,8435,0.47,373,373,9840,0,9840,0,0,0,6892,686872,0.0,NULL,NULL,NULL,363,2904000,18,NULL,24,2160,31314,326,0,0.00,47276,493,0,0.00,8,88,148,178,0.45
5788916,6,0,1295746,8000,0,0.00,707,2289,3578,4237,0.45,557,557,7873156,0,40000,0,7833156,0,4925,780994,0.03,NULL,NULL,20,329,2632000,18,NULL,143,164304,9141,55,0,0.00,81076,487,0,0.00,NULL,30,27,27,0.49
5368033,3,0,3058148,12372,20,60.00,277,1475,5968,5084,0.48,570,570,37492,18,17000,18,20492,0,6717,2168140,0.03,NULL,NULL,NULL,180,1440000,18,-74,1,0,23853,158,0,0.00,139734,855,0,0.00,2,44,90,62,0.57
1381308,6,0,4307729,4637,0,0.00,0,2473,0,0,0.0,769,769,246900,0,246900,0,0,0,3498,3290680,0.0,NULL,NULL,NULL,0,0,18,NULL,19,0,27485,27,0,0.00,94960,102,0,0.00,NULL,94,0,0,0.00
6265794,6,0,977863,10074,0,0.00,481,732,4607,5109,0.46,543,543,1900,0,1900,0,0,0,3027,335411,0.0,NULL,NULL,NULL,438,3504000,18,NULL,12,-4320,22645,245,0,0.00,107553,1184,0,0.00,13,28,111,134,0.45
1002452062,1,0,604569,14288,46,552.54,286,254,3714,8775,0.26,201,201,1030517,101,15000,101,1015517,0,1636,136022,0.5,NULL,NULL,NULL,37,185000,18,13,155,-67527,NULL,NULL,NULL,NULL,76340,1730,5,35.95,NULL,7,NULL,NULL,NULL
20412429,5,0,452691,5834,29,44.50,134,434,2618,3195,0.45,133,133,700,0,700,0,0,0,0,0,NULL,NULL,NULL,NULL,100,800000,18,4,1,-2700,37380,493,0,0.00,99299,1358,4,6.50,2,141,245,248,0.50
1002692956,6,0,396391,5248,0,0.00,151,722,2487,2747,0.47,127,127,20852,140,8379,140,12473,0,9,826,0.33,NULL,NULL,NULL,121,605000,18,NULL,8,-840,19547,260,0,0.00,178833,2421,0,0.00,12,110,129,131,0.50
17533263,5,0,388373,2072,5,26.00,0,499,820,1132,0.4,345,345,1177165,101,177165,101,1000000,0,1513,234207,0.01,NULL,NULL,20,0,0,18,-34,55,-3200,4179,10,0,0.00,24325,103,0,0.00,NULL,16,3,6,0.30
17877212,6,0,1349363,5746,0,0.00,127,1477,2770,2818,0.48,331,331,17174,0,17174,0,0,0,1947,490111,0.0,NULL,NULL,20,119,952000,18,NULL,145,5250,12792,52,0,0.00,107405,448,0,0.00,NULL,38,28,21,0.54
20780177,5,0,650795,4107,27,54.00,174,315,2075,2023,0.51,81,81,1200,0,1200,0,0,0,13,965,0.23,NULL,NULL,NULL,138,1104000,18,18,11,-5000,20559,81,0,0.00,125874,607,6,12.00,5,24,40,41,0.49
422031,6,0,1977948,6302,0,0.00,508,951,3137,3116,0.5,973,973,0,0,0,0,0,0,4193,1358166,0.0,NULL,NULL,NULL,437,3524000,18,NULL,4,-3047,24168,80,0,0.00,49626,170,0,0.00,NULL,15,46,34,0.58
20664636,5,0,394215,6758,8,14.00,227,376,3079,3473,0.46,100,100,0,2,0,2,0,0,18,1359,0.5,NULL,NULL,NULL,161,1288000,18,-35,29,-9660,44584,548,0,0.00,138829,1958,0,0.00,26,177,245,302,0.45
11495363,6,0,1164212,9430,0,0.00,27,1637,3821,4731,0.41,432,432,1301920,0,8990,0,1292930,0,1036,145581,0.0,NULL,NULL,20,23,184000,18,NULL,78,-2000,49498,433,0,0.00,169625,1463,0,0.00,NULL,82,156,238,0.36
1002335115,6,0,965167,10793,0,0.00,481,898,4533,6023,0.42,243,243,22550,92,2550,92,20000,0,547,46852,0.49,NULL,NULL,NULL,148,750000,18,NULL,93,-2450,51693,708,0,0.00,187380,2341,0,0.00,54,80,314,390,0.44
18885398,5,0,111486,2184,112,56.00,3,448,909,1075,0.42,267,278,45068,0,720,0,44348,0,325,16437,0.0,NULL,NULL,NULL,3,24000,7,-54,0,-2160,NULL,NULL,NULL,NULL,1182,51,0,0.00,NULL,1,NULL,NULL,NULL
4306154,5,0,292249,931,6,39.00,31,521,481,436,0.52,611,611,218383,0,74400,0,143983,0,86,24629,0.05,NULL,NULL,20,29,232000,18,-8,29,36000,5375,16,0,0.00,14476,45,2,9.00,NULL,21,11,5,0.69
18730715,5,0,328896,2360,19,60.00,95,349,1131,1171,0.48,289,289,62031,0,6425,0,55606,0,1262,25734,0.0,NULL,NULL,NULL,69,552000,18,-40,16,-5000,5628,17,0,0.00,5628,17,0,0.00,3,18,7,10,0.41
19824706,5,0,406440,3328,18,40.00,71,344,1551,1728,0.47,202,202,21778,9,21778,9,0,0,2202,183758,0.49,NULL,NULL,NULL,62,496000,18,15,14,2100,16922,57,1,2.00,113348,515,2,4.00,3,27,30,23,0.53
19356687,5,0,450901,7387,93,76.50,364,569,2878,4148,0.39,246,246,575,4,575,4,0,0,85,7761,0.22,NULL,NULL,NULL,253,2024000,18,18,1,-6625,7033,73,0,0.00,123422,1396,26,13.00,1,38,34,38,0.47
1002298187,6,0,1169577,16036,0,0.00,375,1743,7919,8093,0.49,253,253,24949,220,11021,220,13928,0,314,32062,0.0,NULL,NULL,NULL,314,1654000,18,NULL,136,740,31230,447,0,0.00,110216,1551,0,0.00,20,101,233,214,0.52
5999176,3,1,938637,10381,13,26.00,202,759,3485,6632,0.34,527,550,1000,12,1000,12,0,0,3893,228800,0.02,NULL,NULL,NULL,126,1008000,-5,-483,0,-215972,324,13,0,0.00,324,13,0,0.00,1,2,4,8,0.31
17722374,6,0,560732,8400,0,0.00,500,961,3151,3983,0.38,329,337,7165,0,7165,0,0,0,4278,249798,0.0,NULL,NULL,NULL,388,3104000,10,NULL,0,2160,7942,97,0,0.00,29503,356,0,0.00,17,31,38,59,0.39
16780670,6,1,834303,10816,2,2.50,5,436,5515,5225,0.51,348,367,1260140,0,11520,0,1248620,0,9866,762449,0.0,NULL,NULL,NULL,5,40000,-1,-344,0,-540,9634,128,0,0.00,11145,145,0,0.00,NULL,27,75,53,0.59
8254015,5,0,413668,4928,10,33.50,91,281,2132,2588,0.43,480,497,403676,70,145376,70,258300,0,3785,292953,0.08,NULL,NULL,NULL,65,520000,1,-328,0,48000,1897,23,0,0.00,4382,51,0,0.00,NULL,4,6,16,0.26
5482678,6,0,1231367,14326,0,0.00,589,1584,4291,10003,0.3,566,566,804246,125,804246,125,0,0,9070,793160,0.04,NULL,NULL,20,426,3408000,18,NULL,148,-5200,3484,38,0,0.00,79618,976,0,0.00,NULL,14,9,29,0.24
7081670,3,0,1928744,21393,3,18.00,502,2223,9870,11481,0.46,525,525,0,0,0,0,0,0,10623,1065129,0.0,NULL,NULL,NULL,463,3704000,18,-498,11,-4180,27982,358,0,0.00,121654,1583,0,0.00,16,51,162,196,0.45
7949451,5,0,417590,2788,7,32.50,93,398,1013,1364,0.36,502,506,45179,10,45179,10,0,0,2413,338773,0.23,NULL,NULL,NULL,56,448000,14,-273,0,0,1519,2,0,0.00,7230,13,0,0.00,NULL,13,0,0,0.00
1002265849,6,0,839743,11440,0,0.00,4,932,5362,6072,0.47,258,258,310086,400,173472,400,136614,0,2854,205684,0.0,NULL,NULL,NULL,2,10000,18,NULL,30,5280,9333,139,0,0.00,18445,274,0,0.00,NULL,15,61,78,0.44
18828305,6,0,636385,5807,0,0.00,905,717,2454,3136,0.42,281,282,10127,0,10127,0,0,0,1731,207683,0.0,NULL,NULL,NULL,408,3264000,17,NULL,0,-540,1066,21,0,0.00,6010,61,0,0.00,NULL,9,11,10,0.52
1464774,6,0,2625587,23820,0,0.00,146,2384,9520,14185,0.4,753,753,5284485,44,1500,44,5282985,0,18221,2053634,0.1,NULL,NULL,20,60,480000,18,NULL,35,-2750,21500,218,0,0.00,63148,666,0,0.00,NULL,91,89,129,0.41
20472426,5,0,1197383,2757,12,102.00,98,351,1396,1332,0.51,126,126,13624,0,13624,0,0,0,0,0,NULL,NULL,NULL,NULL,83,664000,18,-41,127,-1500,18031,40,0,0.00,111647,252,0,0.00,1,17,19,21,0.48
4768175,6,0,1150523,12365,0,0.00,272,1643,3944,8421,0.32,590,590,91624,0,21607,0,70017,0,4958,483443,0.0,NULL,NULL,NULL,190,1520000,18,NULL,23,-2800,16995,177,0,0.00,79047,864,0,0.00,1,45,60,117,0.34
17891855,6,0,1161621,13880,2,4.00,732,1300,6206,6986,0.45,330,330,0,28,0,28,0,0,6038,445276,0.13,NULL,NULL,NULL,294,2352000,18,-308,6,-29852,39645,432,0,0.00,144262,1679,0,0.00,14,108,170,210,0.39
10085265,6,0,3972651,28647,0,0.00,268,3515,10134,12561,0.35,473,474,420123,0,16861,0,403262,0,17854,2535187,0.0,NULL,NULL,NULL,204,1632000,17,NULL,0,1400,15926,112,0,0.00,98391,743,0,0.00,NULL,40,36,55,0.32
16687627,3,1,781474,10099,3,40.00,54,1735,5233,4768,0.52,369,370,77595,26,20313,26,57282,0,9406,725964,0.48,NULL,NULL,NULL,43,344000,17,-112,0,-300,NULL,NULL,NULL,NULL,2730,35,0,0.00,NULL,1,NULL,NULL,NULL
5894973,5,1,93097,1150,8,20.00,165,262,447,703,0.39,535,553,1618,0,1618,0,0,0,639,49865,0.01,NULL,NULL,NULL,107,856000,0,-137,0,-5400,1152,13,0,0.00,1152,13,0,0.00,1,4,7,6,0.54
5422299,5,0,855542,4507,3,54.00,35,678,2160,2269,0.48,567,568,58326,0,16550,0,41776,0,2598,450993,0.04,NULL,NULL,NULL,19,152000,17,-548,0,0,30600,178,0,0.00,72395,492,0,0.00,4,41,75,102,0.42
19850252,6,0,2124612,21440,0,0.00,235,1300,11043,9097,0.52,199,199,16609249,0,26460,0,16582789,0,0,0,NULL,NULL,NULL,20,170,1360000,18,NULL,2,9600,38205,417,0,0.00,251232,2201,0,0.00,NULL,114,189,167,0.45
20128179,6,0,836841,5916,0,0.00,185,796,1286,4535,0.22,167,167,39734,0,17993,0,21741,0,0,0,NULL,NULL,NULL,NULL,175,1400000,18,NULL,6,6000,21010,141,0,0.00,136062,974,0,0.00,NULL,48,33,104,0.23
3190594,6,0,2489387,26478,0,0.00,150,4357,13397,13089,0.51,714,714,1748339,0,19760,0,1728579,0,18610,1748849,0.0,NULL,NULL,20,99,792000,18,NULL,715,-4000,20766,219,0,0.00,95934,1053,0,0.00,NULL,149,119,98,0.54
1002488412,6,0,756610,9031,0,0.00,384,2000,3532,4432,0.39,187,187,2676,140,2676,140,0,0,0,0,NULL,NULL,NULL,NULL,289,1513000,18,NULL,188,-2500,39841,437,0,0.00,125448,1496,0,0.00,18,150,154,203,0.35
6659610,6,0,1093633,13506,0,0.00,282,1032,4457,5840,0.33,535,535,4408,0,4408,0,0,0,7143,688547,0.0,NULL,NULL,NULL,218,1744000,18,NULL,44,-2400,38257,550,0,0.00,208474,3144,0,0.00,8,34,187,236,0.34
3013996,6,0,2835789,4342,0,0.00,0,1683,0,0,0.0,737,737,605000,0,605000,0,0,0,2239,1450930,0.0,NULL,NULL,NULL,0,0,18,NULL,14,0,9221,17,0,0.00,81786,132,0,0.00,NULL,47,0,0,0.00
15655148,6,0,1898185,10442,0,0.00,255,597,2616,5420,0.25,382,383,28000,0,28000,0,0,0,7566,526887,0.0,NULL,NULL,NULL,138,1104000,17,NULL,0,0,14305,25,0,0.00,77056,125,0,0.00,NULL,6,0,0,0.00
20059924,6,0,528323,9323,0,0.00,516,597,4153,4260,0.45,174,175,1175170,0,0,0,1175170,0,0,0,NULL,NULL,NULL,NULL,227,1816000,17,NULL,0,-27749,13003,88,0,0.00,98461,719,0,0.00,NULL,11,45,40,0.51
