dt,fplatformname,fuid,predict
2018-07-02,云南,18358356,0.0
2018-07-02,云南,8320227,0.0
2018-07-02,云南,21112008,0.0
2018-07-02,云南,17793122,0.0
2018-07-02,云南,21041740,1.0
2018-07-02,云南,14411178,0.0
2018-07-02,云南,5340528,0.0
2018-07-02,云南,17778462,0.0
2018-07-02,云南,11125612,0.0
2018-07-02,云南,20725550,0.0
2018-07-02,云南,20841609,0.0
2018-07-02,云南,4853279,1.0
2018-07-02,云南,10932746,0.0
2018-07-02,云南,20443336,0.0
2018-07-02,云南,4329469,0.0
2018-07-02,云南,20462998,0.0
2018-07-02,云南,4453530,0.0
2018-07-02,云南,19533224,0.0
2018-07-02,云南,7139397,0.0
2018-07-02,云南,20293382,0.0
2018-07-02,云南,8246200,0.0
2018-07-02,云南,19877904,1.0
2018-07-02,云南,5572112,0.0
2018-07-02,云南,19019226,0.0
2018-07-02,云南,19243923,0.0
2018-07-02,云南,20971320,0.0
2018-07-02,云南,20683100,0.0
2018-07-02,云南,20660433,0.0
2018-07-02,云南,6649899,1.0
2018-07-02,云南,18125434,0.0
2018-07-02,云南,15890219,0.0
2018-07-02,云南,21029532,0.0
2018-07-02,云南,19258433,0.0
2018-07-02,云南,21104585,1.0
2018-07-02,云南,4461716,0.0
2018-07-02,云南,5163547,0.0
2018-07-02,云南,6378437,0.0
2018-07-02,云南,20290858,0.0
2018-07-02,云南,20678282,0.0
2018-07-02,云南,21022542,0.0
2018-07-02,云南,16803002,0.0
2018-07-02,云南,19151661,0.0
2018-07-02,云南,20229534,0.0
2018-07-02,云南,17344276,0.0
2018-07-02,云南,20510252,0.0
2018-07-02,云南,10313293,0.0
2018-07-02,云南,20466989,0.0
2018-07-02,云南,8383867,0.0
2018-07-02,云南,21039481,0.0
2018-07-02,云南,6032921,0.0
2018-07-02,云南,18852185,1.0
2018-07-02,云南,6893768,0.0
2018-07-02,云南,20166820,0.0
2018-07-02,云南,8217746,0.0
2018-07-02,云南,21144280,1.0
2018-07-02,云南,5789167,0.0
2018-07-02,云南,19706647,0.0
2018-07-02,云南,20884323,0.0
