fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
6247652,云南,6,541,541,364767,0,18800,0,345967,0,0,1285781,195279,78530,11345,1536,575,3921,180,5023,251,0.3456,0.4176,0,0,0,0.00,0.00,0.00,858,54,6,0,4,32000,1184,115102,0.0000,9,0,4,0,0,0,2018-07-02
20491020,云南,8,121,121,16836,0,16836,0,0,0,0,645406,54227,7727,3277,248,34,1394,20,1683,13,0.4254,0.6061,6,0,0,3.00,0.00,0.00,311,5,90,0,63,504000,0,0,1.0000,2,0,0,0,55,0,2018-07-02
21131925,云南,9,1,4,11000,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,0,0,0.00,0.00,0.00,1,1,0,0,0,0,0,0,1.0000,0,0,0,3,0,1,2018-07-02
18041520,云南,8,319,321,12340,29,12340,29,0,0,0,282916,11731,614,3832,133,7,1546,0,2182,7,0.4034,0.0000,13,0,0,6.50,0.00,0.00,514,3,189,0,132,1056000,3295,195877,0.1830,0,0,600,2,85,0,2018-07-02
20324340,云南,6,139,139,47211,0,19473,0,27738,0,1,1916845,390293,96864,19896,4097,1012,8865,459,10864,553,0.4456,0.4536,0,0,0,0.00,0.00,0.00,856,32,239,11,216,1728000,0,0,1.0000,140,2160,0,0,0,0,2018-07-02
6016732,云南,9,547,547,8300,0,8300,0,0,0,0,290008,4604,1232,4958,39,8,1604,4,3299,4,0.3235,0.5000,0,0,0,0.00,0.00,0.00,510,1,496,1,325,2600000,4670,258284,0.0000,1,0,4200,0,0,0,2018-07-02
6382039,云南,9,532,538,1180,0,1180,0,0,0,0,279958,600,399,2975,9,3,1236,1,1739,2,0.4155,0.3333,12,0,0,72.00,0.00,0.00,446,1,258,1,185,1480000,2842,268037,0.0000,0,0,8640,6,465,1,2018-07-02
17375851,云南,8,347,348,17435,0,17435,0,0,0,0,701024,19059,327,12837,356,5,3695,3,4496,1,0.2878,0.7500,1,0,0,2.00,0.00,0.00,1021,2,273,0,215,1720000,6141,343569,0.0000,0,0,0,1,320,0,2018-07-02
21002004,云南,6,33,33,47500,30,47500,30,0,0,1,47157,41870,15434,636,561,208,318,106,315,101,0.5000,0.5121,0,0,0,0.00,0.00,0.00,59,16,0,0,0,0,624,46281,0.5016,34,0,500,0,0,0,2018-07-02
19278853,云南,5,248,248,62588,43,12588,43,50000,0,0,228710,38114,867,5444,380,9,2076,3,3119,6,0.3813,0.3333,10,6,0,23.50,7.50,0.00,672,10,199,0,179,1432000,587,40553,0.0085,11,2160,0,0,22,0,2018-07-02
