fuid,fplatformname,label_score,lifespan,signup_to_now_days,total_silver_coin,total_gold_bar,carrying_silver_coin,carrying_gold_bar,safebox_silver_coin,safebox_gold_bar,if_vip,play_duration_life,play_duration_30day,play_duration_7day,play_innings_life,play_innings_30day,play_innings_7day,win_innings_life,win_innings_7day,lose_innings_life,lose_innings_7day,win_rate_life,win_rate_7day,pay_count_life,pay_count_30day,pay_count_7day,pay_sum_life,pay_sum_30day,pay_sum_7day,login_count_life,login_count_7day,bankrupt_count_life,bankrupt_count_7day,relieve_count_life,relieve_silver_coins_life,match_innings_life,match_duration_life,match_win_rate_life,recent_login_series_days,latest_play_coins_win,latest_play_coins_lose,last_active_to_now_days,last_pay_to_now_days,if_away,dt
19986829,云南,5,180,180,48300,0,0,0,48300,0,0,402118,19852,18269,3729,828,773,1616,336,1880,356,0.4334,0.4855,54,23,23,48.50,23.00,23.00,492,44,380,39,143,1144000,0,0,1.0000,11,0,28780,0,3,0,2018-07-02
20381101,云南,6,134,134,68323,0,23180,0,45143,0,1,775315,166475,39161,3745,763,183,1833,95,1839,81,0.4895,0.5398,2,0,0,1.00,0.00,0.00,495,41,48,4,46,368000,0,0,1.0000,52,2000,0,0,106,0,2018-07-02
21012568,云南,3,31,31,1000,2,1000,2,0,0,0,170504,162114,29647,1001,947,164,434,64,521,92,0.4336,0.4103,5,5,1,4.00,4.00,0.50,117,28,84,22,62,496000,28,2493,0.4286,23,0,600,0,3,0,2018-07-02
18322865,云南,5,308,308,200,0,200,0,0,0,0,817976,24135,8803,13450,727,250,5236,117,7269,116,0.3893,0.5021,151,1,0,507.50,6.00,0.00,831,21,661,15,504,4032000,5409,450979,0.0000,15,0,3000,0,8,0,2018-07-02
20175872,云南,6,158,158,17560,0,17560,0,0,0,0,1204525,154485,31556,7251,968,183,2145,56,4732,118,0.2958,0.3218,0,0,0,0.00,0.00,0.00,545,20,43,5,26,208000,0,0,1.0000,3,3000,0,0,0,0,2018-07-02
21005422,云南,5,33,33,43050,0,43050,0,0,0,0,16927,12579,7127,602,495,324,269,162,262,141,0.4468,0.5347,4,4,4,3.50,3.50,3.50,34,16,32,16,27,216000,0,0,1.0000,3,2000,0,0,1,0,2018-07-02
18462901,云南,6,299,302,4000,0,4000,0,0,0,0,1224574,192945,18739,10214,1804,165,2938,48,7059,112,0.2876,0.3000,0,0,0,0.00,0.00,0.00,882,9,346,1,169,1352000,716,117637,0.0056,0,0,4,3,0,0,2018-07-02
18939340,云南,6,271,271,16100,0,16096,0,4,0,0,825341,123583,36162,10386,1635,484,3161,149,4439,194,0.3044,0.4344,0,0,0,0.00,0.00,0.00,844,42,174,19,116,928000,1942,173203,0.0000,16,3000,0,0,0,0,2018-07-02
19739285,云南,3,208,208,20000,11,20000,11,0,0,1,923393,111936,15173,10464,1104,149,4819,67,5599,82,0.4605,0.4497,87,5,1,192.50,10.00,2.00,817,27,403,12,354,2832000,3271,276087,0.4806,52,0,1000,0,0,0,2018-07-02
21068899,云南,5,18,18,2180,0,2180,0,0,0,0,19315,18829,2096,619,605,62,203,13,380,45,0.3279,0.2241,5,5,0,2.50,2.50,0.00,68,16,60,13,43,344000,0,0,1.0000,1,0,17900,0,11,0,2018-07-02
