产品名称,产品类型,是否有竞品
苏州麻将，掼蛋，包分,其他,有
新沂麻将,麻将类,有
呼和浩特麻将,麻将类,是
济南麻将,麻将类,是
重庆血战,麻将类,有
推倒胡麻将,麻将类,朋友介绍获取
找朋友,扑克类,是
本溪麻将,麻将类,是
抓红枪,扑克类,
眉山麻将,麻将类,有
慈溪打帮,扑克类,有
四冲,扑克类,有
老虎机,金流类,是
广安麻将,麻将类,有
漳州麻将,麻将类,有
连云港麻将,麻将类,有
箍桶,,是
安康地区麻将,麻将类,
棋类:象棋，围棋，五子棋----麻将类:掐五星----扑克类:跑得快，斗地主----字牌类:无---,,无
升级（四副牌）,扑克类,有
标分,扑克类,有
陕西麻将,麻将类,QQ游戏大厅
拉大车,扑克类,
围棋,其他,
新港式五张（梭哈）,金流类,有
够级,扑克类,有
剑阁麻将,麻将类,无
牌九,字牌类,有
桂林字牌（字牌、大字牌）,字牌类,有
无锡麻将,麻将类,有
麻将类:鹰城麻将--扑克类:斗地主--扑克类:双升--扑克类:灭三家--棋类:五子棋--棋类:象棋-,,有
广东麻将,麻将类,是
仙居红五,扑克类,有
二八杠,麻将类,有
南宁麻将,麻将类,有
五人原子,扑克类,有
遵义斗地主,扑克类,有
大连红五,扑克类,是
填大坑,金流类,有
福州四色牌,字牌类,有
红五,扑克类,
泰安麻将,麻将类,是
朝阳麻将,麻将类,是
钦州麻将,麻将类,有
手把一,扑克类,是
隆昌麻将,麻将类,无
长宁麻将,麻将类,有
济宁麻将,麻将类,是
南江麻将,麻将类,无
榆树麻将,麻将类,有
贵阳捉鸡麻将,综合类,有
桐城麻将,麻将类,否
德州够级,扑克类,是
7王523,扑克类,
五通桥麻将,麻将类,有
尖子顶,扑克类,
讨赏,扑克类,是
松原麻将,麻将类,有
开江麻将,麻将类,无
血战到底,麻将类,有
凯里麻将,麻将类,有
章丘够级,扑克类,是
长红心(四副),扑克类,有
雅安麻将,麻将类,无
剥皮,字牌类,有
麻将类:海南麻将----扑克类:三公----:,,有
梨树刨幺,扑克类,有
炒地皮，麻将,其他,有
佳木斯麻将,麻将类,是
青岛保皇,扑克类,是
掀花花,其他,
新都麻将,麻将类,无
桥牌,扑克类,有
潍坊保皇,扑克类,是
拱猪二副牌,扑克类,是
南京麻将,麻将类,有
福鼎打炸,扑克类,是
韶关麻将,麻将类,是
锄大地(大老二),扑克类,是
吹牛（出牌说真假的）,金流类,朋友介绍获取
万源麻将,麻将类,无
歪胡子,字牌类,有
昭通闷鸡,金流类,有
