产品名称,产品类型,是否有竞品
七王五二三,扑克类,没有
抽对,扑克类,
麻将，中心五,其他,有
滑水麻将,麻将类,是
东北麻将,麻将类,
推牌九,其他,
木塞（类21点 只比庄）,其他,否
赤峰麻将,扑克类,是
广元麻将,麻将类,
贵阳麻将,麻将类,有
天津麻将捉五胡,麻将类,是
龙马潭鬼麻将,麻将类,无
镇江麻将,麻将类,有
:--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,
张家港麻将，张家港斗地主,其他,有
德阳长牌,其他,无
广元长牌,其他,无
陆川麻将,麻将类,有
枞阳掼蛋,扑克类,是
古蔺鬼麻将,麻将类,有
衢州麻将,麻将类,有
西安麻将,麻将类,
简阳麻将,麻将类,无
三脚天王,其他,是
十点半,金流类,
掀花花,其他,没有
红黑点,字牌类,有
达川麻将,麻将类,无
蓬安麻将,麻将类,无
常州四副牌升级,扑克类,有
武威麻将,麻将类,有
钻空儿,扑克类,是
扑克类:斗地主--扑克类:跑得快--麻将类:许昌麻将--金流类:斗牛--:--:--:,,有
推筒子,麻将类,有
忻州麻将,麻将类,同城游
盐亭麻将,麻将类,无
大竹麻将,麻将类,无
潍坊打穴,扑克类,是
木塞鱼（类21点 都比）,其他,否
青川麻将,麻将类,无
延吉红十,扑克类,有
掐一,扑克类,无
张掖麻将,麻将类,无
炸金花,扑克类,
南溪麻将,麻将类,无
五十K,扑克类,是
牌九,字牌类,无
推牛牛（拱牛子）,其他,
白银麻将,麻将类,有
保皇,扑克类,是
塘沽麻将,麻将类,是
棋类:象棋，围棋，五子棋----麻将类:红中赖子杠，黄石晃晃----扑克类:丁二皇，斗牛，玩三张--,,
博饼,金流类,有
沂源保皇,扑克类,否
枣庄够级,扑克类,是
日照麻将,麻将类,否
十胡卡,字牌类,有
柳州八一字牌,字牌类,有
扑克类:德州扑克----:----:,,无
温岭对家统,扑克类,有
抓娘娘,扑克类,
打二毛,扑克类,同城游
楚雄四五筒,麻将类,有
烟台麻将,麻将类,是
平阳四副头,扑克类,有
打地主,扑克类,有
尼格尔（更具代表性的藏棋）,棋类,
兴化麻将,麻将类,有
庐江麻将,麻将类,是
宝坻麻将,麻将类,是
巴中麻将,麻将类,有
扎枪,扑克类,
扯胡子,字牌类,有
大连穷胡,麻将类,是
德阳缺断龟,麻将类,无
撸九,金流类,无
寿光保皇,扑克类,否
凤城板成,扑克类,是
宁化麻将,麻将类,有
麻将类:漯河麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
十三张,扑克类,
兴文麻将,麻将类,有
桓台保皇,扑克类, 是
吉首麻将,麻将类,有
打盾,扑克类,是
拉耗子,扑克类,
扬州麻将,麻将类,有
捉黑枪,扑克类,
沛县麻将,麻将类,有
漏斗,扑克类,无
靖江青儿，80分，扎金花,扑克类,有
雷州麻将,麻将类,是
重庆倒倒胡,麻将类,有
红拐弯,字牌类,有
星子炸弹,扑克类,是
拱猪,扑克类,
泰安升级,扑克类,是
朝阳立棍,扑克类,是
保定麻将,麻将类,有
陕西麻将,麻将类,约麻
麻将,麻将类,有
塘沽毛二（蛤蟆锤）,扑克类,是
大安麻将,麻将类,无
找朋友,扑克类,有
北海麻将,麻将类,有
唐山打储,扑克类,有
泉州麻将,麻将类,有
中原推倒胡,麻将类,
自贡麻将,麻将类,有
四团,扑克类,是
保定八张,麻将类,有
四副牌升级,扑克类,是
推对子,扑克类,是
双阳二人麻将,麻将类,有
推倒胡,麻将类,有
大跃进,扑克类,
大邑麻将,麻将类,无
屏山麻将,麻将类,无
睢宁麻将,麻将类,有
崇州麻将,麻将类,无
挖花,字牌类,有
扑克类:南召打楼--扑克类:南阳斗地主--麻将类:南阳麻将--金流类:斗牛--:--:--:,,有
麻将类:登封麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,有
三明逃牌,扑克类,有
打楚,扑克类,有
梓潼麻将,麻将类,无
捉黑叉,扑克类,
拖拉机,扑克类,有
麻将类:新乡麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,有
掀花花,扑克类,
威海麻将,麻将类, 是
憋红10,扑克类,无
通辽推倒胡,麻将类,是
金堂麻将,麻将类,无
营山麻将,麻将类,无
涪城麻将,麻将类,无
三乱一个棍,扑克类,无
德州扑克,扑克类,是
铜仁麻将,麻将类,有
合江鬼麻将,麻将类,有
天台三阿磨,麻将类,有
推扑克,金流类,无
麻将类:信阳满堂跑--麻将类:信阳麻将--扑克类:信阳黑七--扑克类:斗地主--金流类:斗牛--:-,,有
赤峰推对子,扑克类,
船山麻将,麻将类,无
血战天山麻将,麻将类,有
挖坑,扑克类,是
通川麻将,麻将类,无
冲关麻将,麻将类,是
跑得快，掼蛋,扑克类,
福州麻将,麻将类,有
21点,金流类,有
鹤岗麻将,麻将类,是
杨沙子,其他,无
捉红五,扑克类,有
石子河螺丝胡,麻将类,有
昆明麻将,综合类,有
摆火车,扑克类,无
过5关,其他,否
陕西棱子麻将,麻将类,
宁化五十K,扑克类,有
升级三副牌不跟对,扑克类,有
通辽414,扑克类,是
定个蛋,扑克类,同城游
普洱翻屁股,麻将类,有
潜乌龟,其他,否
牡丹江麻将,麻将类,是
平武麻将,麻将类,无
泸县鬼麻将,麻将类,有
大字牌（桂林字牌）,字牌类,有
集宁麻将,扑克类,是
扑克类:挤黑五--麻将类:河南麻将--扑克类:斗地主--扑克类:双升--金流类:斗牛--:--:,,无
沙湾麻将,麻将类,无
富顺麻将,麻将类,无
十三支/十三水,其他,是
掀牛/掀牛九,扑克类,无
双扣,棋类,无
争上游（跑得快）,扑克类,有
信不信（说瞎话）,扑克类,
掀花花,扑克类,没有
营口麻将,麻将类,无
捉黑A,扑克类,
滑水麻将,麻将类,有
七台河麻将,麻将类,是
宣汉麻将,麻将类,无
鄂尔多斯推对子,麻将类,是
龙岩麻将,麻将类,有
红河个旧麻将,麻将类,有
敲三家儿,扑克类,有
新余麻将,麻将类,是
漂三页（飘三叶）,金流类,
南通单将长牌（单将长牌）,扑克类,有
抚顺打百分,扑克类,是
温岭标统,扑克类,有
巴彦淖尔麻将,麻将类,是
一口香,麻将类,是
牌九,其他,有
邵阳麻将,麻将类,有
打炸,扑克类,是
